,dataid,total_consumption,mci
0,8188,972.7816004399991,23.62356006061201
0,1629,1097.436376957001,23.25970553157906
0,9555,2585.4002812370018,23.42346389680572
0,9052,1011.8688397770013,23.499650884636566
0,7001,1208.2350089209997,23.464136870811085
0,7769,408.52367646000005,23.658212898674257
0,604,4356.915139032999,23.466459856224205
0,93,927.4314728159991,23.504518189155636
0,4447,1560.4286202689987,23.484521109217177
0,4703,1080.8505132240023,23.476556229451123
0,8282,1741.7334762019982,23.345875482896517
0,8273,2906.6810858059976,23.451147115333466
0,4956,1002.9003026230007,23.537459629233528
0,9818,949.2637666109998,23.498397638837634
0,3935,627.0036844,23.415119016873497
0,4957,3166.270093462999,23.50970880402642
0,8292,704.7332281539992,23.481103690751755
0,2401,876.5511372760005,23.437184220981433
0,1632,1558.229762485002,23.433695398611913
0,6498,2087.3152889219987,23.445380834124638
0,86,1645.9384252170012,23.486495664515598
0,7767,804.9415448100002,23.447374430713452
0,3649,1348.2326394040006,23.422401600276903
0,3916,2595.007838847999,23.49505636436035
0,3394,2379.4574444520044,23.43270565389287
0,3401,3524.911476553999,23.38583156203957
0,585,928.3817762140009,23.46628237963262
0,6730,920.2567124650018,23.538218877971655
0,2378,1080.724105108,23.38246516549528
0,9295,1438.888039761001,23.47572800057989
0,77,1882.4144518050016,23.474222411763357
0,6990,1235.8566067450004,23.458550365211536
0,2638,1254.2352023939998,23.616829656577906
0,3413,1432.2502753119975,23.4416241229061
0,1103,513.2864910390005,23.469952963863555
0,3918,2197.076619261001,23.4708148342791
0,2129,1480.912126790001,23.47397288199542
0,2641,1885.814535100003,23.414702930436096
0,4946,1241.4027891120004,23.47031553217831
0,1617,1190.8032356129997,23.47950144845172
0,4944,427.7234316090004,23.40007388071456
0,7504,1414.485720993999,23.530749121405414
0,4193,1582.3772515699989,23.52044122862085
0,8807,942.5878529299991,23.439966462180347
0,3938,374.2048102949996,23.473657228924882
0,8829,1159.7165810899992,23.53198942742629
0,115,607.9455142229995,23.38043323182667
0,7024,871.3544626749992,23.525737835738486
0,7536,844.3387275459986,23.56216986446233
0,7030,860.6936322199998,23.564978598062474
0,4213,1169.2034871979986,23.485572661861685
0,8059,648.7732589189993,23.466786404922903
0,6266,1838.351927943002,23.472607039601613
0,8317,856.0890054449987,23.411636848781928
0,9085,960.9568799560008,23.570054817756027
0,101,703.0281317169997,23.518550018161935
0,3192,1361.836669240001,23.385956013953614
0,2171,1518.485560283999,23.541964443016813
0,890,936.4993854030005,23.505969914201366
0,6264,584.6561779209998,23.44934245655875
0,4473,562.3165359329993,23.582638760805487
0,379,1750.8305312670004,23.389789710349056
0,9343,661.1519032690006,23.347662325251118
0,1403,799.1913723159994,23.45165514265277
0,7793,1688.8903953419974,23.393288777944775
0,2931,1352.3741780449986,23.576972989158723
0,370,1714.3212372729981,23.48352380178816
0,114,1244.201393775999,23.454036088467472
0,871,1183.79991904,23.484871352913633
0,7787,1064.711341196999,23.388148431372482
0,9836,589.9622499999996,23.498613076460472
0,7017,0.0,
0,1642,988.9621131130002,23.603205772727918
0,6248,1681.4875439129992,23.569439584067407
0,7016,3106.427340852005,23.30010311717834
0,2925,1609.0329793929998,23.732379852942266
0,2156,1539.944446229,23.641600004317304
0,8046,1518.4354243430005,23.1249278642052
0,2158,1250.6342770590015,23.5127970055032
0,8555,632.4894898150009,23.376538513852267
0,7788,2125.6562775679986,23.34129881786682
0,624,793.6113697420014,23.503269638078223
0,1392,1849.336191614001,23.457002785501633
0,3953,2239.330306464001,23.557279665953605
0,9333,1377.808166662004,23.382544683444397
0,3392,767.6082146260007,23.328693439855076
0,3134,929.9326292090003,23.430312994060607
0,1791,1264.2995401540004,23.529238683933755
0,2072,1327.9016265380014,23.583754207036765
0,6412,2454.0437431910004,23.43130130586413
0,1551,439.4286405669994,23.671710927245833
0,6423,1262.6143182510002,23.55460983097252
0,4375,2886.188212779995,23.422952284952846
0,3092,1283.308979255998,23.491796947913635
0,6165,580.211585873,23.492337289234293
0,4373,1933.781092015,23.664128933700876
0,9235,618.7544280750006,23.478699483668272
0,26,1249.204260649999,23.620039356303295
0,781,1111.5655122739988,23.546244091000457
0,4633,1173.3279333190005,23.482743653022904
0,8218,460.15224952900036,23.387375853021755
0,6941,2157.508800248999,23.449113098324204
0,7965,2411.203874517002,23.36994258415252
0,2337,414.1651427659997,23.270846235683223
0,6691,3335.352133237997,23.10120434570404
0,545,1208.475282777001,23.49466375212145
0,8741,1425.9842269409994,23.488399117784482
